iter	Passed	Remaining
679	17154	235112
680	17175	235040
681	17197	234966
682	17219	234900
683	17240	234815
684	17263	234764
685	17286	234703
686	17305	234590
687	17325	234497
688	17356	234552
689	17376	234462
690	17419	234668
691	17456	234799
692	17491	234911
693	17516	234889
694	17538	234808
695	17557	234711
696	17578	234629
697	17599	234548
698	17628	234573
699	17651	234518
700	17672	234435
701	17691	234322
702	17720	234350
703	17745	234320
704	17766	234245
705	17786	234153
706	17805	234046
707	17828	233986
708	17854	233970
709	17880	233961
710	17905	233923
711	17929	233891
712	17950	233807
713	17990	233979
714	18014	233940
715	18037	233877
716	18057	233787
717	18079	233721
718	18100	233641
719	18123	233588
720	18154	233637
721	18177	233586
722	18197	233496
723	18217	233399
724	18242	233374
725	18261	233273
726	18284	233215
727	18304	233129
728	18323	233027
729	18343	232934
730	18365	232873
731	18389	232832
732	18416	232828
733	18442	232823
734	18471	232846
735	18499	232849
736	18526	232856
737	18546	232760
738	18568	232692
739	18588	232613
740	18610	232546
741	18630	232454
742	18649	232354
743	18668	232254
744	18691	232197
745	18707	232064
746	18727	231975
747	18750	231921
748	18770	231830
749	18795	231812
750	18816	231735
751	18836	231653
752	18869	231726
753	18899	231754
754	18938	231897
755	18973	231997
756	19010	232115
757	19040	232155
758	19063	232100
759	19087	232069
760	19110	232014
761	19131	231942
762	19163	231991
763	19186	231948
764	19205	231841
765	19224	231746
766	19245	231674
767	19265	231587
768	19283	231476
769	19306	231427
770	19327	231349
771	19346	231251
772	19365	231159
773	19385	231070
774	19405	230986
775	19426	230913
776	19460	230995
777	19490	231033
778	19519	231052
779	19549	231085
780	19571	231027
781	19594	230969
782	19614	230886
783	19634	230807
784	19654	230721
785	19676	230661
786	19697	230585
787	19719	230528
788	19739	230445
789	19762	230396
790	19783	230322
791	19803	230236
792	19822	230142
793	19850	230157
794	19882	230209
795	19909	230211
796	19937	230214
797	19963	230203
798	19985	230151
799	20007	230088
800	20048	230240
801	20077	230260
802	20105	230275
803	20126	230202
804	20148	230144
805	20169	230075
806	20191	230007
807	20218	230009
808	20243	229988
809	20280	230099
810	20301	230030
811	20321	229943
812	20342	229875
813	20371	229895
814	20393	229835
815	20414	229764
816	20438	229725
817	20461	229680
818	20490	229701
819	20519	229718
820	20546	229713
821	20582	229815
822	20605	229759
823	20625	229681
824	20650	229653
825	20673	229613
826	20694	229542
827	20716	229480
828	20737	229408
829	20753	229292
830	20769	229166
831	20793	229128
832	20815	229067
833	20835	228986
834	20862	228991
835	20887	228966
836	20913	228946
837	20934	228876
838	20953	228789
839	20973	228713
840	20994	228646
841	21017	228591
842	21039	228534
843	21079	228673
844	21110	228712
845	21131	228649
846	21154	228598
847	21184	228627
848	21213	228647
849	21233	228568
850	21262	228595
851	21284	228533
852	21303	228442
853	21325	228388
854	21349	228352
855	21370	228288
856	21390	228210
857	21414	228173
858	21443	228190
859	21464	228123
860	21487	228071
861	21506	227989
862	21534	227992
863	21560	227987
864	21584	227946
865	21605	227876
866	21625	227799
867	21645	227723
868	21664	227644
869	21694	227668
870	21723	227680
871	21740	227573
872	21756	227460
873	21787	227497
874	21817	227529
875	21849	227575
876	21879	227599
877	21915	227690
878	21936	227621
879	21955	227535
880	21974	227457
881	21998	227421
882	22018	227343
883	22063	227524
884	22092	227538
885	22112	227465
886	22132	227392
887	22160	227391
888	22179	227310
889	22201	227254
890	22232	227295
891	22253	227226
892	22273	227150
893	22300	227140
894	22320	227073
895	22341	227008
896	22361	226935
897	22381	226856
898	22404	226812
899	22429	226782
900	22449	226715
901	22469	226636
902	22496	226630
903	22523	226631
904	22551	226634
905	22581	226658
906	22603	226605
907	22624	226548
908	22648	226511
909	22668	226435
910	22691	226395
911	22714	226345
912	22738	226311
913	22762	226279
914	22778	226162
915	22822	226332
916	22844	226279
917	22863	226195
918	22886	226145
919	22907	226088
920	22928	226021
921	22948	225953
922	22970	225893
923	22996	225886
924	23017	225822
925	23036	225741
926	23058	225689
927	23101	225838
928	23126	225814
929	23147	225748
930	23173	225733
931	23193	225666
932	23212	225577
933	23241	225593
934	23266	225570
935	23287	225507
936	23306	225429
937	23325	225351
938	23347	225293
939	23366	225210
940	23384	225126
941	23410	225104
942	23434	225079
943	23461	225069
944	23482	225004
945	23505	224967
946	23528	224927
947	23559	224956
948	23590	224988
949	23617	224990
950	23643	224974
951	23663	224902
952	23682	224819
953	23708	224811
954	23729	224749
955	23753	224709
956	23772	224637
957	23803	224671
958	23835	224709
959	23862	224701
960	23882	224634
961	23910	224643
962	23934	224606
963	23955	224546
964	23976	224485
965	23997	224425
966	24019	224374
967	24040	224313
968	24062	224258
969	24084	224204
970	24125	224336
971	24155	224358
972	24176	224299
973	24200	224262
974	24223	224224
975	24245	224172
976	24273	224174
977	24295	224121
978	24315	224054
979	24337	224000
980	24360	223959
981	24380	223889
982	24399	223818
983	24421	223763
984	24441	223693
985	24461	223628
986	24483	223574
987	24503	223507
988	24522	223432
989	24544	223378
990	24572	223386
991	24603	223416
992	24630	223407
993	24655	223391
994	24678	223350
995	24698	223274
996	24717	223204
997	24738	223138
998	24762	223114
999	24798	223190
1000	24824	223170
1001	24845	223109
1002	24875	223131
1003	24901	223123
1004	24920	223043
1005	24940	222974
1006	24964	222942
1007	24989	222918
1008	25009	222850
1009	25030	222796
1010	25053	222756
1011	25091	222850
1012	25122	222880
1013	25165	223014
1014	25192	223007
1015	25212	222946
1016	25233	222882
1017	25259	222864
1018	25286	222865
1019	25312	222845
1020	25332	222784
1021	25362	222802
1022	25384	222753
1023	25404	222682
1024	25426	222636
1025	25445	222563
1026	25465	222495
